dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
15,3,2,6,4,8,oe_3d,thermal,random,0.05,106.60668888888888,105.34097777777778,27.138864444444444,26.886902222222222,26.215606666666666,26.069615555555554,25.846891111111113,25.74138,2.13147e+08 (um^2),1.41159e-07 (J/cycle),1.11392e-07 (J/cycle),2.97676e-08 (J/cycle),3.30751e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.06,106.80937777777778,105.53711111111109,27.151073333333336,26.892944444444442,26.219920000000002,26.072851111111113,25.84783555555555,25.74215555555556,2.13147e+08 (um^2),1.41515e-07 (J/cycle),1.11614e-07 (J/cycle),2.99011e-08 (J/cycle),3.32234e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.07,106.6641777777778,105.39446666666669,27.142937777777778,26.888133333333332,26.216446666666666,26.069526666666665,25.846946666666664,25.741171111111107,2.13147e+08 (um^2),1.412e-07 (J/cycle),1.11423e-07 (J/cycle),2.97766e-08 (J/cycle),3.30851e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.08,106.73235555555559,105.46346666666665,27.144975555555554,26.892851111111117,26.21728222222223,26.072266666666664,25.847379999999994,25.742097777777776,2.13147e+08 (um^2),1.41261e-07 (J/cycle),1.11478e-07 (J/cycle),2.97831e-08 (J/cycle),3.30924e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.09,106.7862888888889,105.51502222222221,27.148202222222224,26.896013333333332,26.217708888888886,26.073193333333332,25.847228888888893,25.741975555555555,2.13147e+08 (um^2),1.41448e-07 (J/cycle),1.1157e-07 (J/cycle),2.98779e-08 (J/cycle),3.31976e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.10,106.73286666666665,105.46144444444447,27.14615777777778,26.889919999999993,26.218566666666664,26.07077333333333,25.847391111111115,25.741422222222223,2.13147e+08 (um^2),1.41212e-07 (J/cycle),1.11428e-07 (J/cycle),2.97844e-08 (J/cycle),3.30938e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,8,4,8,oe_3d,thermal,random,0.01,104.65557777777778,103.45228888888889,26.94192444444444,26.71028,26.17078222222222,26.033631111111106,25.82880444444444,25.727442222222226,2.13799e+08 (um^2),1.38271e-07 (J/cycle),1.101e-07 (J/cycle),2.81712e-08 (J/cycle),3.13014e-10 (J/cycle),1.069e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,8,4,8,oe_3d,thermal,random,0.02,114.5970444444444,113.14557777777776,27.525033333333337,27.239975555555556,26.35288,26.193551111111113,25.87815111111111,25.76927333333334,2.13799e+08 (um^2),1.58199e-07 (J/cycle),1.21537e-07 (J/cycle),3.66618e-08 (J/cycle),4.07353e-10 (J/cycle),1.069e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,8,4,8,oe_3d,thermal,random,0.03,108.90722222222225,107.59128888888891,27.23460444444445,26.979257777777775,26.23730666666667,26.09137555555556,25.84940222222222,25.744448888888893,2.13799e+08 (um^2),1.46032e-07 (J/cycle),1.13957e-07 (J/cycle),3.20749e-08 (J/cycle),3.56388e-10 (J/cycle),1.069e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,8,4,8,oe_3d,thermal,random,0.04,108.65591111111112,107.344,27.22381111111111,26.96454,26.23256888888889,26.086039999999997,25.848162222222225,25.743171111111106,2.13799e+08 (um^2),1.45453e-07 (J/cycle),1.1359e-07 (J/cycle),3.18635e-08 (J/cycle),3.54039e-10 (J/cycle),1.069e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,8,4,8,oe_3d,thermal,random,0.05,108.51128888888887,107.20088888888891,27.220208888888887,26.956148888888887,26.230284444444436,26.082311111111114,25.847691111111104,25.742464444444447,2.13799e+08 (um^2),1.45164e-07 (J/cycle),1.13421e-07 (J/cycle),3.17427e-08 (J/cycle),3.52697e-10 (J/cycle),1.069e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
